ID,Hand,XPos,YPos,ZPos,Time
sample123,Right,-0.3699087,0.3921117,0.1621416,15.74898
sample123,Left,-0.4049137,1.551816,0.08396638,15.80622
sample123,Right,-0.3699087,0.3921117,0.1621416,15.80622
sample123,Left,-0.4053004,1.549317,0.08509823,15.83865
sample123,Right,-0.3699087,0.3921117,0.1621416,15.83865
sample123,Left,-0.4052852,1.546642,0.0858998,15.87228
sample123,Right,-0.3699087,0.3921117,0.1621416,15.87228
sample123,Left,-0.4051454,1.543024,0.08728162,15.90684
sample123,Right,-0.3699087,0.3921117,0.1621416,15.90684
sample123,Left,-0.405171,1.537055,0.08932523,15.94848
sample123,Right,-0.3699087,0.3921117,0.1621416,15.94848
sample123,Left,-0.4058167,1.532226,0.09099112,15.98714
sample123,Right,-0.3699087,0.3921117,0.1621416,15.98714
sample123,Left,-0.407057,1.526688,0.09305953,16.02844
sample123,Right,-0.3699087,0.3921117,0.1621416,16.02844
sample123,Left,-0.4075913,1.522997,0.0942754,16.06252
sample123,Right,-0.3699087,0.3921117,0.1621416,16.06252
sample123,Left,-0.40807,1.519343,0.09542125,16.09521
sample123,Right,-0.3699087,0.3921117,0.1621416,16.09521
sample123,Left,-0.4082554,1.515404,0.09644864,16.12847
sample123,Right,-0.3699087,0.3921117,0.1621416,16.12847
sample123,Left,-0.4079895,1.510277,0.09741419,16.16194
sample123,Right,-0.3699087,0.3921117,0.1621416,16.16194
sample123,Left,-0.4066521,1.501742,0.09837785,16.19818
sample123,Right,-0.3699087,0.3921117,0.1621416,16.19818
sample123,Left,-0.4059261,1.491123,0.09971348,16.22983
sample123,Right,-0.3699087,0.3921117,0.1621416,16.22983
sample123,Left,-0.4061239,1.480785,0.1007499,16.26286
sample123,Right,-0.3699087,0.3921117,0.1621416,16.26286
sample123,Left,-0.4060275,1.471129,0.1008656,16.29644
sample123,Right,-0.3699087,0.3921117,0.1621416,16.29644
sample123,Left,-0.40631,1.463655,0.1005287,16.32886
sample123,Right,-0.3699087,0.3921117,0.1621416,16.32886
sample123,Left,-0.406164,1.459316,0.09968857,16.36206
sample123,Right,-0.3699087,0.3921117,0.1621416,16.36206
sample123,Left,-0.4056016,1.457285,0.09878001,16.39752
sample123,Right,-0.3699087,0.3921117,0.1621416,16.39752
sample123,Left,-0.4054521,1.457617,0.09861625,16.43811
sample123,Right,-0.3699087,0.3921117,0.1621416,16.43811
sample123,Left,-0.4049022,1.458348,0.09864976,16.47197
sample123,Right,-0.3699087,0.3921117,0.1621416,16.47197
sample123,Left,-0.4037207,1.460149,0.0990046,16.51714
sample123,Right,-0.3699087,0.3921117,0.1621416,16.51714
sample123,Left,-0.4029144,1.461414,0.09936848,16.55052
sample123,Right,-0.3699087,0.3921117,0.1621416,16.55052
sample123,Left,-0.4018056,1.462063,0.09937538,16.58396
sample123,Right,-0.3699087,0.3921117,0.1621416,16.58396
sample123,Left,-0.4011125,1.461729,0.09930466,16.62421
sample123,Right,-0.3699087,0.3921117,0.1621416,16.62421
sample123,Left,-0.4006881,1.461174,0.09912655,16.65845
sample123,Right,-0.3699087,0.3921117,0.1621416,16.65845
sample123,Left,-0.4001431,1.460523,0.09872117,16.69194
sample123,Right,-0.3699087,0.3921117,0.1621416,16.69194
sample123,Left,-0.400278,1.460114,0.09856979,16.72596
sample123,Right,-0.3699087,0.3921117,0.1621416,16.72596
sample123,Left,-0.4000925,1.459384,0.09849826,16.76013
sample123,Right,-0.3699087,0.3921117,0.1621416,16.76013
sample123,Left,-0.3999804,1.458861,0.09842711,16.803
sample123,Right,-0.3699087,0.3921117,0.1621416,16.803
sample123,Left,-0.3992136,1.45848,0.09866993,16.86191
sample123,Right,-0.3699087,0.3921117,0.1621416,16.86191
sample123,Left,-0.3975652,1.457898,0.09943684,16.91309
sample123,Right,-0.3699087,0.3921117,0.1621416,16.91309
sample123,Left,-0.3972693,1.460201,0.1003714,16.95535
sample123,Right,-0.3699087,0.3921117,0.1621416,16.95535
sample123,Left,-0.3973494,1.463479,0.1020002,16.98984
sample123,Right,-0.3699087,0.3921117,0.1621416,16.98984
sample123,Left,-0.3965502,1.468913,0.1029373,17.02293
sample123,Right,-0.3699087,0.3921117,0.1621416,17.02293
sample123,Left,-0.3951526,1.47747,0.1029086,17.06099
sample123,Right,-0.3699087,0.3921117,0.1621416,17.06099
sample123,Left,-0.3948083,1.492737,0.1034812,17.09797
sample123,Right,-0.3699087,0.3921117,0.1621416,17.09797
sample123,Left,-0.3934983,1.507162,0.1014529,17.13356
sample123,Right,-0.3699087,0.3921117,0.1621416,17.13356
sample123,Left,-0.3918223,1.522358,0.09836888,17.17347
sample123,Right,-0.3699087,0.3921117,0.1621416,17.17347
sample123,Left,-0.3907152,1.537966,0.09483923,17.20577
sample123,Right,-0.3699087,0.3921117,0.1621416,17.20577
sample123,Left,-0.3905444,1.552127,0.09180894,17.23883
sample123,Right,-0.3699087,0.3921117,0.1621416,17.23883
sample123,Left,-0.3902647,1.56653,0.08691718,17.28384
sample123,Right,-0.3699087,0.3921117,0.1621416,17.28384
sample123,Left,-0.3912807,1.576961,0.08285778,17.32653
sample123,Right,-0.3699087,0.3921117,0.1621416,17.32653
sample123,Left,-0.3932556,1.583409,0.0800681,17.36989
sample123,Right,-0.3699087,0.3921117,0.1621416,17.36989
sample123,Left,-0.3928646,1.583929,0.07831271,17.40239
sample123,Right,-0.3699087,0.3921117,0.1621416,17.40239
sample123,Left,-0.3905129,1.579606,0.07761221,17.43647
sample123,Right,-0.3699087,0.3921117,0.1621416,17.43647
sample123,Left,-0.3851338,1.569531,0.07866598,17.47121
sample123,Right,-0.3699087,0.3921117,0.1621416,17.47121
sample123,Left,-0.3826179,1.561763,0.0777737,17.51276
sample123,Right,-0.3699087,0.3921117,0.1621416,17.51276
sample123,Left,-0.3843215,1.56834,0.07572666,17.54512
sample123,Right,-0.3699087,0.3921117,0.1621416,17.54512
sample123,Left,-0.3853326,1.581782,0.07194477,17.57816
sample123,Right,-0.3699087,0.3921117,0.1621416,17.57816
sample123,Left,-0.3856017,1.594273,0.06898881,17.61165
sample123,Right,-0.3699087,0.3921117,0.1621416,17.61165
sample123,Left,-0.3823208,1.598521,0.06954665,17.64633
sample123,Right,-0.3699087,0.3921117,0.1621416,17.64633
sample123,Left,-0.3755961,1.590477,0.07291489,17.68634
sample123,Right,-0.3699087,0.3921117,0.1621416,17.68634
sample123,Left,-0.3709479,1.577315,0.07653625,17.7239
sample123,Right,-0.3699087,0.3921117,0.1621416,17.7239
sample123,Left,-0.3643932,1.555623,0.081928,17.76192
sample123,Right,-0.3699087,0.3921117,0.1621416,17.76192
sample123,Left,-0.3646787,1.551795,0.08335056,17.80372
sample123,Right,-0.3699087,0.3921117,0.1621416,17.80372
sample123,Left,-0.3674618,1.569344,0.07812661,17.83694
sample123,Right,-0.3699087,0.3921117,0.1621416,17.83694
sample123,Left,-0.3695724,1.587353,0.07391502,17.87139
sample123,Right,-0.3699087,0.3921117,0.1621416,17.87139
sample123,Left,-0.3679878,1.597381,0.071061,17.91415
sample123,Right,-0.3699087,0.3921117,0.1621416,17.91415
sample123,Left,-0.3660138,1.591896,0.07458709,17.95559
sample123,Right,-0.3699087,0.3921117,0.1621416,17.95559
sample123,Left,-0.3623935,1.573611,0.0812059,17.99249
sample123,Right,-0.3699087,0.3921117,0.1621416,17.99249
sample123,Left,-0.3606885,1.555524,0.08464316,18.03094
sample123,Right,-0.3699087,0.3921117,0.1621416,18.03094
sample123,Left,-0.3642757,1.565105,0.07802499,18.06492
sample123,Right,-0.3699087,0.3921117,0.1621416,18.06492
sample123,Left,-0.3665915,1.582043,0.06863333,18.10688
sample123,Right,-0.3699087,0.3921117,0.1621416,18.10688
sample123,Left,-0.3652326,1.587731,0.0660928,18.14189
