ID,ObjectName,LeftControlPoint,RightControlPoint,PrimaryIndexTrigger,PrimaryHandTrigger,SecondaryIndexTrigger,SecondaryHandTrigger,IsMarked,InterInit,InterEnd,ObjXInit,ObjXEnd,ObjYInit,ObjYEnd,ObjZInit,ObjZEnd
jacqui,Sphere,0,0,0,0,0,1,0,19.32789,21.30845,-2.699267,-2.901708,1.500478,1.424017,2.699906,3.32
jacqui,Sphere,0,0,0,0,0,1,0,22.2822,23.23685,-2.901708,-3.461118,1.424017,1.412891,3.32,3.161462
jacqui,Sphere,0,0,0,1,0,0,0,23.7946,25.30502,-3.461118,-3.253037,1.412891,1.443614,3.161462,3.24567
jacqui,Sphere,0,0,0,1,0,0,0,26.80256,28.15423,-3.253037,-3.1909,1.443614,1.443191,3.24567,3.12256
jacqui,Floor,1,0,0,0,0,0,0,28.99921,29.67928,0,0,0,0,0,0
jacqui,Floor,1,0,0,0,0,0,0,30.61545,31.01101,0,0,0,0,0,0
jacqui,Cube,0,0,0,1,0,0,0,33.05682,35.10614,-2.699988,-2.378851,0.2500001,1.461886,-2.7,-2.545191
jacqui,Cube,0,0,0,0,0,1,0,35.44181,36.90185,-2.378851,-2.389248,0.8615144,1.455196,-2.545191,-2.459742
jacqui,Cube,0,1,0,0,0,0,0,38.1038,39.61731,-2.489457,-2.489457,0.2499999,0.2499999,-2.331571,-2.331571
jacqui,Floor,0,1,0,0,0,0,0,39.98992,40.89173,0,0,0,0,0,0
jacqui,Cylinder,0,1,0,0,0,0,0,41.54359,42.64792,2.7,2.7,1.5,1.5,-2.7,-2.7
jacqui,Floor,0,1,0,0,0,0,0,45.95679,46.48854,0,0,0,0,0,0
jacqui,Capsule,1,0,0,0,0,0,0,47.20401,48.82977,2.7,2.7,1.5,1.5,2.7,2.7
jacqui,Floor,1,0,0,0,0,0,0,48.98219,49.58513,0,0,0,0,0,0
jacqui,Sphere,1,0,0,0,0,0,0,50.21263,50.86867,-3.1909,-3.1909,1.443191,1.443191,3.12256,3.12256
jacqui,Sphere,1,0,0,0,0,0,0,50.92469,51.25303,-3.1909,-3.1909,1.443191,1.443191,3.12256,3.12256
jacqui,Sphere,1,0,0,0,0,0,0,51.27018,52.03215,-3.1909,-3.1909,1.443191,1.443191,3.12256,3.12256
jacqui,Floor,0,1,0,0,0,0,0,52.28717,52.31424,0,0,0,0,0,0
jacqui,Sphere,0,1,0,0,0,0,0,52.59373,53.54448,-3.1909,-3.1909,1.443191,1.443191,3.12256,3.12256
jacqui,Floor,0,1,0,0,0,0,0,54.55473,54.97933,0,0,0,0,0,0
jacqui,Sphere,0,0,0,1,0,0,0,56.18544,59.81437,-3.1909,-2.904362,1.443191,1.445893,3.12256,2.906208
jacqui,Sphere,1,0,0,0,0,0,0,0,0,-2.904362,-2.904362,1.445893,1.445893,2.906208,2.906208
jacqui,Floor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
