ID,Hand,XPos,YPos,ZPos,Time
jacqui,Right,-0.1243462,1.231936,0.4663288,15.88262
jacqui,Left,-0.6411085,1.128733,0.4251832,15.9433
jacqui,Right,-0.1255235,1.233602,0.4661391,15.9433
jacqui,Left,-0.6407099,1.127897,0.4225592,16.01046
jacqui,Right,-0.1289734,1.234606,0.4656996,16.01046
jacqui,Left,-0.6411266,1.127177,0.4201789,16.06407
jacqui,Right,-0.1324485,1.232583,0.4661352,16.06407
jacqui,Left,-0.6418177,1.126673,0.4182305,16.10807
jacqui,Right,-0.1378793,1.228654,0.4669301,16.10807
jacqui,Left,-0.6427411,1.126639,0.4162608,16.15261
jacqui,Right,-0.1492817,1.220396,0.4686327,16.15261
jacqui,Left,-0.6438339,1.12692,0.4142063,16.19632
jacqui,Right,-0.1651616,1.206427,0.4712976,16.19632
jacqui,Left,-0.6446303,1.128032,0.4124717,16.25355
jacqui,Right,-0.1881164,1.182337,0.4738146,16.25355
jacqui,Left,-0.6454619,1.131939,0.4092589,16.30786
jacqui,Right,-0.2143203,1.160146,0.472233,16.30786
jacqui,Left,-0.6464697,1.135291,0.4064088,16.3524
jacqui,Right,-0.2394949,1.144431,0.4683255,16.3524
jacqui,Left,-0.6480429,1.137228,0.4032615,16.39387
jacqui,Right,-0.2593257,1.13786,0.4619361,16.39387
jacqui,Left,-0.6507933,1.139012,0.3982494,16.43983
jacqui,Right,-0.2869817,1.131595,0.4521058,16.43983
jacqui,Left,-0.6545003,1.139581,0.3921807,16.48429
jacqui,Right,-0.3116753,1.128723,0.4447251,16.48429
jacqui,Left,-0.6623845,1.138981,0.3792338,16.55125
jacqui,Right,-0.3531499,1.126865,0.4245519,16.55125
jacqui,Left,-0.6693183,1.139934,0.3658959,16.6159
jacqui,Right,-0.379643,1.126696,0.4121404,16.6159
jacqui,Left,-0.6736874,1.141202,0.3555998,16.67313
jacqui,Right,-0.3934517,1.127769,0.4071078,16.67313
jacqui,Left,-0.6781469,1.141302,0.3453467,16.71589
