ID,Hand,XPos,YPos,ZPos,Time
testid,Right,0.2461812,1.311223,0.3487925,17.27197
testid,Left,-0.2008383,1.044289,0.318137,17.31369
testid,Right,0.24641,1.308194,0.3500464,17.31369
testid,Left,-0.2007579,1.04434,0.3183883,17.34778
testid,Right,0.2456516,1.306052,0.3506489,17.34778
testid,Left,-0.2005737,1.044549,0.3187574,17.38342
testid,Right,0.2447409,1.303612,0.3512538,17.38342
testid,Left,-0.2001759,1.044984,0.3190062,17.41478
testid,Right,0.243985,1.300616,0.3521139,17.41478
testid,Left,-0.2000786,1.045143,0.3191679,17.44904
testid,Right,0.2428955,1.296688,0.3534918,17.44904
testid,Left,-0.1996911,1.045104,0.3191067,17.48361
testid,Right,0.2415354,1.290764,0.355784,17.48361
testid,Left,-0.198794,1.044668,0.3189178,17.5193
testid,Right,0.239672,1.282373,0.3587599,17.5193
testid,Left,-0.1978673,1.044192,0.318762,17.55218
testid,Right,0.2373357,1.271719,0.3624785,17.55218
testid,Left,-0.1969882,1.044122,0.3186746,17.58717
testid,Right,0.2360225,1.257956,0.3668141,17.58717
testid,Left,-0.1963983,1.044265,0.3187737,17.62022
testid,Right,0.2339901,1.241822,0.3711837,17.62022
testid,Left,-0.1959192,1.044257,0.3187444,17.65369
testid,Right,0.2308253,1.223959,0.375019,17.65369
testid,Left,-0.1949509,1.044313,0.318462,17.68804
testid,Right,0.2281184,1.204035,0.3774946,17.68804
testid,Left,-0.194623,1.044744,0.3186122,17.72074
testid,Right,0.2238926,1.183904,0.3791868,17.72074
testid,Left,-0.1943952,1.045407,0.3184729,17.75414
testid,Right,0.2228781,1.164337,0.3790646,17.75414
testid,Left,-0.1944949,1.04635,0.318222,17.78758
testid,Right,0.2230497,1.147239,0.3780537,17.78758
testid,Left,-0.1949141,1.047222,0.317772,17.82107
testid,Right,0.2249704,1.133878,0.376202,17.82107
testid,Left,-0.1957269,1.047459,0.3170506,17.85377
testid,Right,0.2294083,1.122511,0.37399,17.85377
testid,Left,-0.1970066,1.046988,0.3155315,17.88781
testid,Right,0.2356273,1.111449,0.3716578,17.88781
testid,Left,-0.1980868,1.045732,0.3139739,17.92022
testid,Right,0.242727,1.100978,0.3690763,17.92022
testid,Left,-0.1990476,1.043744,0.3123304,17.95473
testid,Right,0.2509407,1.091357,0.3661694,17.95473
testid,Left,-0.1996736,1.041697,0.310939,17.98767
